,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster,id,title,artist
30,0.644,0.6609999999999999,1,-4.877,0,0.451,0.369,0.0,0.0733,0.355,180.05,199882,4,0,3RasiWohReHWYM1FJ9d1ZD,Amor en Coma,Manuel Turizo
31,0.795,0.655,7,-3.815,1,0.0422,0.076,1.76e-06,0.29600000000000004,0.7440000000000001,93.029,215891,4,0,2TksvaRivgAEj780DgRB73,911,Sech
32,0.795,0.655,7,-3.815,1,0.0422,0.076,1.76e-06,0.29600000000000004,0.7440000000000001,93.029,215891,4,0,2TksvaRivgAEj780DgRB73,911,Sech
33,0.795,0.655,7,-3.815,1,0.0422,0.076,1.76e-06,0.29600000000000004,0.7440000000000001,93.029,215891,4,0,2TksvaRivgAEj780DgRB73,911,Sech
34,0.7909999999999999,0.649,10,-2.312,1,0.276,0.0624,0.0,0.184,0.951,190.08700000000002,221749,4,0,3YAnNBdk0uHyakXXzMbNJq,Millones,Camilo
35,0.7909999999999999,0.649,10,-2.312,1,0.276,0.0624,0.0,0.184,0.951,190.08700000000002,221749,4,0,3YAnNBdk0uHyakXXzMbNJq,Millones,Camilo
36,0.713,0.617,8,-4.637,1,0.0887,0.122,0.0,0.0962,0.682,168.021,232853,4,0,1xK1Gg9SxG8fy2Ya373oqb,Bandido,Myke Towers
37,0.713,0.617,8,-4.637,1,0.0887,0.122,0.0,0.0962,0.682,168.021,232853,4,0,1xK1Gg9SxG8fy2Ya373oqb,Bandido,Myke Towers
38,0.713,0.617,8,-4.637,1,0.0887,0.122,0.0,0.0962,0.682,168.021,232853,4,0,1xK1Gg9SxG8fy2Ya373oqb,Bandido,Myke Towers
39,0.713,0.617,8,-4.637,1,0.0887,0.122,0.0,0.0962,0.682,168.021,232853,4,0,1xK1Gg9SxG8fy2Ya373oqb,Bandido,Myke Towers
40,0.83,0.748,1,-5.362,1,0.162,0.354,0.0,0.0992,0.523,133.028,177443,4,0,3ke6it1vTmHtz2ApcIVUz5,"Snow Tha Product: Bzrp Music Sessions, Vol. 39",Bizarrap
41,0.83,0.748,1,-5.362,1,0.162,0.354,0.0,0.0992,0.523,133.028,177443,4,0,3ke6it1vTmHtz2ApcIVUz5,"Snow Tha Product: Bzrp Music Sessions, Vol. 39",Bizarrap
42,0.83,0.748,1,-5.362,1,0.162,0.354,0.0,0.0992,0.523,133.028,177443,4,0,3ke6it1vTmHtz2ApcIVUz5,"Snow Tha Product: Bzrp Music Sessions, Vol. 39",Bizarrap
43,0.856,0.618,7,-4.8919999999999995,1,0.28600000000000003,0.0303,0.0,0.0866,0.391,81.993,203201,4,0,2XIc1pqjXV3Cr2BQUGNBck,LA NOCHE DE ANOCHE,Bad Bunny
44,0.856,0.618,7,-4.8919999999999995,1,0.28600000000000003,0.0303,0.0,0.0866,0.391,81.993,203201,4,0,2XIc1pqjXV3Cr2BQUGNBck,LA NOCHE DE ANOCHE,Bad Bunny
45,0.856,0.618,7,-4.8919999999999995,1,0.28600000000000003,0.0303,0.0,0.0866,0.391,81.993,203201,4,0,2XIc1pqjXV3Cr2BQUGNBck,LA NOCHE DE ANOCHE,Bad Bunny
46,0.856,0.618,7,-4.8919999999999995,1,0.28600000000000003,0.0303,0.0,0.0866,0.391,81.993,203201,4,0,2XIc1pqjXV3Cr2BQUGNBck,LA NOCHE DE ANOCHE,Bad Bunny
47,0.9079999999999999,0.813,5,-2.7489999999999997,0,0.0777,0.305,0.0,0.278,0.924,97.01799999999999,200785,4,0,4DHDIdeayp8xvlyg22wREO,Ram Pam Pam,Natti Natasha
48,0.9079999999999999,0.813,5,-2.7489999999999997,0,0.0777,0.305,0.0,0.278,0.924,97.01799999999999,200785,4,0,4DHDIdeayp8xvlyg22wREO,Ram Pam Pam,Natti Natasha
49,0.9079999999999999,0.813,5,-2.7489999999999997,0,0.0777,0.305,0.0,0.278,0.924,97.01799999999999,200785,4,0,4DHDIdeayp8xvlyg22wREO,Ram Pam Pam,Natti Natasha
50,0.9079999999999999,0.813,5,-2.7489999999999997,0,0.0777,0.305,0.0,0.278,0.924,97.01799999999999,200785,4,0,4DHDIdeayp8xvlyg22wREO,Ram Pam Pam,Natti Natasha
51,0.742,0.738,1,-4.86,1,0.0558,0.29600000000000004,0.00126,0.11900000000000001,0.456,88.985,189375,4,0,0cHuDFkcVBjuvYQxEgcpBv,Feeling,Dalex
52,0.742,0.738,1,-4.86,1,0.0558,0.29600000000000004,0.00126,0.11900000000000001,0.456,88.985,189375,4,0,0cHuDFkcVBjuvYQxEgcpBv,Feeling,Dalex
53,0.742,0.738,1,-4.86,1,0.0558,0.29600000000000004,0.00126,0.11900000000000001,0.456,88.985,189375,4,0,0cHuDFkcVBjuvYQxEgcpBv,Feeling,Dalex
54,0.742,0.738,1,-4.86,1,0.0558,0.29600000000000004,0.00126,0.11900000000000001,0.456,88.985,189375,4,0,0cHuDFkcVBjuvYQxEgcpBv,Feeling,Dalex
55,0.773,0.8,10,-3.17,0,0.0987,0.0613,0.00403,0.0327,0.8420000000000001,89.988,184507,4,0,2dl5K2ScW7jYhAhuem06cm,PROBLEMA,Daddy Yankee
